# massnumber, rigidity, px, py, pz, Nparticles, label
1.000000000000000000e+00 7.585775750291819725e+19 -7.874191605941084360e-01 4.851934550188808370e-01 -3.802083333333333148e-01 7.467759438584805823e-21 3.000000000000000000e+00
1.000000000000000000e+00 1.318256738556410102e+20 9.223662403343764471e-02 -2.356627542150874499e-01 9.674479166666666297e-01 2.383017511824247824e-33 1.000000000000000000e+00
1.000000000000000000e+00 5.754399373371590246e+19 -8.611913604941294764e-01 4.008655517879657904e-01 -3.125000000000000000e-01 3.930243388406124188e-19 2.000000000000000000e+00
1.200000000000000000e+01 1.741080109045033984e+18 8.462475370331031810e-01 -5.214424373220947206e-01 1.093750000000000000e-01 5.758240162117332639e-02 2.000000000000000000e+00
1.000000000000000000e+00 3.801893963205627904e+19 -7.646195868494516379e-01 4.582953433989637171e-01 -4.531250000000000000e-01 8.409394849261002524e-12 2.000000000000000000e+00
1.000000000000000000e+00 1.318256738556410266e+19 -7.923725427362132701e-01 5.653568717249632947e-01 -2.291666666666666574e-01 3.821073696820358710e-03 2.000000000000000000e+00
1.400000000000000000e+01 2.365222296304219648e+18 2.464042664068670160e-02 3.445181813900589085e-01 -9.384562174479166297e-01 5.018117879057237829e-02 2.000000000000000000e+00
1.000000000000000000e+00 4.168693834703363277e+19 -8.139696015723778544e-01 4.480040300934726716e-01 -3.697916666666666297e-01 9.229032752678273476e-14 2.000000000000000000e+00
1.000000000000000000e+00 4.786300923226380698e+19 -8.611913604941294764e-01 4.008655517879657904e-01 -3.125000000000000000e-01 4.046495828216267699e-15 2.000000000000000000e+00
1.000000000000000000e+00 8.709635899560832205e+19 -8.318410319628631866e-01 4.315884372178906414e-01 -3.489583333333333148e-01 3.494335462729774594e-27 4.000000000000000000e+00
1.400000000000000000e+01 1.713452085013917696e+18 6.645261780001698870e-01 -6.074810298581627410e-02 -7.447916666666667407e-01 5.673280475127241707e-02 0.000000000000000000e+00
1.000000000000000000e+00 1.659586907437556326e+19 -6.724568073589365369e-01 4.987279585221047196e-01 -5.468750000000000000e-01 5.913270194280770926e-04 2.000000000000000000e+00
1.200000000000000000e+01 2.295190586115145472e+18 -4.840320057942791299e-01 6.124442973583532623e-01 -6.250000000000000000e-01 5.095003117974337969e-02 2.000000000000000000e+00
1.400000000000000000e+01 2.060022502233294080e+18 2.530214230694415312e-01 4.968702571208326486e-03 -9.674479166666666297e-01 5.938235541199318734e-02 0.000000000000000000e+00
1.000000000000000000e+00 9.549925860214369485e+19 -7.871162670183549093e-01 5.189767538955658566e-01 -3.333333333333333148e-01 3.946331812261844460e-24 2.000000000000000000e+00
1.000000000000000000e+00 5.011872336272715776e+19 1.642512938760088137e-01 -2.614044367217098763e-01 9.511515299479166297e-01 1.060674982866770846e-14 1.000000000000000000e+00
1.000000000000000000e+00 5.248074602497712128e+19 -8.416496724395747808e-01 4.366775055036746789e-01 -3.177083333333333148e-01 7.860486776037553648e-19 2.000000000000000000e+00
1.000000000000000000e+00 3.467368504525309133e+19 -7.718845953150952344e-01 4.756213366642120244e-01 -4.218750000000000000e-01 1.449230966105033968e-10 2.000000000000000000e+00
1.000000000000000000e+00 2.398832919019484774e+19 -3.945776053510676729e-01 6.348807429462194341e-02 -9.166666666666666297e-01 3.518572626882704983e-05 0.000000000000000000e+00
1.400000000000000000e+01 2.977638453359545344e+18 2.401481512597568035e-01 -1.490952662232172300e-02 -9.706217447916666297e-01 4.123948254193619822e-02 0.000000000000000000e+00
1.000000000000000000e+00 3.981071705534985830e+19 -8.369344914654087697e-01 3.833441878658622182e-01 -3.906250000000000000e-01 1.314837260647586945e-15 4.000000000000000000e+00
1.000000000000000000e+00 1.096478196143182848e+19 -6.737600998999964119e-01 6.990330136493094759e-01 -2.395833333333333148e-01 1.503673642730087544e-03 3.000000000000000000e+00
1.000000000000000000e+00 8.317637711026742272e+18 -5.213528507323518246e-01 4.556686154986689941e-01 -7.214965820312500000e-01 3.688499076989307322e-03 2.000000000000000000e+00
