# rigidity, px, py, pz, Nparticles, x0, y0, z0
8.317637711026674074e+19 3.035867196898785203e-02 2.329502832100474249e-02 -9.992675781250000000e-01 5.021813958003092077e-25 -3.339999999999999858e+00 1.250000000000000000e+00 -3.560000000000000053e+00
1.581138830084189716e+20 6.073200595102499211e-01 -5.999124804547372181e-01 5.208333333333332593e-01 6.644837032423940834e-88 2.759999999999999787e+00 -3.149999999999999911e+00 -2.859999999999999876e+00
1.042173458675840819e+19 4.941001015004816144e-01 -8.477786196650058947e-01 1.927083333333333148e-01 2.443226729967347030e-07 2.080000000000000071e+00 -2.959999999999999964e+00 8.529999999999999361e+00
4.763651794908130304e+18 4.090337232918908605e-01 -9.076906690662699395e-01 9.375000000000000000e-02 2.378361836063020958e-04 2.080000000000000071e+00 -2.959999999999999964e+00 8.529999999999999361e+00
3.801893963205627904e+19 5.417584586874566455e-01 -8.216685861685032455e-01 1.770833333333333148e-01 3.069287874304163564e-22 2.080000000000000071e+00 -2.959999999999999964e+00 8.529999999999999361e+00
3.783903121090518016e+18 4.697335491882755343e-01 -8.174590397419767562e-01 3.333333333333333148e-01 8.736075463800466612e-04 2.759999999999999787e+00 -3.149999999999999911e+00 -2.859999999999999876e+00
1.995262314968882790e+19 5.605240954175542134e-01 -7.557792524189110850e-01 3.385416666666666297e-01 2.652696371665871335e-07 2.759999999999999787e+00 -3.149999999999999911e+00 -2.859999999999999876e+00
1.380384264602886554e+19 5.723536635907829906e-01 -8.126797605140716474e-01 1.093750000000000000e-01 1.403541132449777787e-05 2.770000000000000018e+00 -2.819999999999999840e+00 2.459999999999999964e+00
3.162277660168379187e+19 6.109847228608114023e-01 -6.417373229714682381e-01 4.635416666666666297e-01 2.178955633147110081e-18 2.759999999999999787e+00 -3.149999999999999911e+00 -2.859999999999999876e+00
2.177408974890208256e+18 1.655312175498686866e-01 -9.204158778718891654e-01 3.541666666666666297e-01 6.822721291819195018e-03 2.080000000000000071e+00 -2.959999999999999964e+00 8.529999999999999361e+00
